Image,price,emi,a,size,b,c,society,d,location,possession,total_sqft,price_per_sqft,,description,image,e,agent,Title,cta,cta8
https://is1-2.housingcdn.com/01c16c28/31a2d15cdc12c4e70ee9d4ad655a7e00/v0/medium/2_bhk_apartment-for-sale-nerul-Navi+Mumbai-others.jpg.webp,2.1 Cr,EMI starts at 1.04 Lacs,,2 BHK,,,"new project in Nerul,Sector 6, Nerul,Navi Mumbai",,,Build Up Area,1275 sq.ft,16.47 K/sq.ft,,"2 BHK Apartment for sale in Nerul, Mumbai - contact now, for details about the most coveted property. This 2 BHK unit is available in Nerul and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Nerul. It is on floor 8. The total number of floors is 16. The price of this Apartment is Rs 2.1 Cr. Residents in this project also pay monthly maintenance charges of Rs 2000. It is a good, spacious Apartment unit with carpet area of 785 Square feet. The built-up area is 1275 Square feet. There are 2 bedrooms and 2 bathroom. The property is North-East-facing. Th...",https://is1-3.housingcdn.com/fb15c03b/eff73803d8069d9d19a9e62728a3a1f1/v0/thumb.jpg.webp,,Gagan,,View Phone,Contact
https://is1-2.housingcdn.com/01c16c28/013f63824d22d52112ac417575a3f97e/v0/medium/4_bhk_apartment-for-sale-nerul-Navi+Mumbai-hall.jpg.webp,5.7 Cr,EMI starts at 2.83 Lacs,,4 BHK,,,"Sector 28, Nerul,Navi Mumbai",,,Build Up Area,2705 sq.ft,21.07 K/sq.ft,,"An excellent and super spacious 4 BHK for sale in Nerul navi mumbai. The flat is greatly built and has great furnishings. The flat has good ventilation and has great view from its balconies. The building has many modern amenities such as garden, gym, etc. The building is at a prime location i.e. close to Seawoods railway station. Most coveted address now available for sell, contact for fully-furnished Loveish property. This property which is a 3 BHK Apartment is located in the best part of the city. Properties on sale in Navi Mumbai, contact for more information. Check out this affordable prop...",https://is1-3.housingcdn.com/fb15c03b/45b2e1f6392f7762d7fc5abd767f1454/v0/thumb.jpg.webp,,Mohanlal Maurya,,View Phone,Contact
https://is1-3.housingcdn.com/01c16c28/156e91877679fa8b250f37ffd16aa29b/v0/medium/3_bhk_apartment-for-sale-nerul-Navi+Mumbai-others.jpg.webp,2.8 Cr,EMI starts at 1.39 Lacs,,3 BHK,,,L And T Seawoods Residences Phase 3,,"Sector 28, Nerul,Navi Mumbai",Build Up Area,1404 sq.ft,19.94 K/sq.ft,,"Built on India's first Transit Oriented Development. Awarded as the project launch of the year 2019 by Realty plus awards. The most modern gated community of Navi Mumbai. 2 storied modern club house spread over 20,000 sq.ft. Olympic sized swimming pool with toddlers pool. Podium garden with modern amenities. Exclusive 2 badminton courts in the project.",,,HomeBazaar.com,,View Phone,Contact
,1.9 Cr,EMI starts at 94.33 K,,2 BHK,,,Maitri Harbour View,,"Sector 19A, Nerul,Navi Mumbai",Build Up Area,1150 sq.ft,16.52 K/sq.ft,,"This is 2bhk fully furnished spacious apartment for sale in nerul with all modern amenities like swimming pool, gym, garden, lift, water storage, Visitors parking etc it is well maintain society It has 800 sqft carpet with open view. Please note that the above images are not an actual images its only for your reference. ",,,Balram Jha,,View Phone,Contact
,2.75 Cr,EMI starts at 1.37 Lacs,,3 BHK ,,,"mayuresh vihar sector 21 nerul navi mumbai,Sector 15, Nerul,Navi Mumbai",,,Build Up Area,2000 sq.ft,13.75 K/sq.ft,,,,,Universal Property,,View Phone,Contact
,2.0 Cr,EMI starts at 99.29 K,,2 BHK,,,Moreshwar 19 East,,"Sector 19, Nerul,Navi Mumbai",Build Up Area,1230 sq.ft,16.26 K/sq.ft,,"Looking for a 2 BHK Apartment for sale in Navi Mumbai? Your search ends here. Buy this 2 BHK property in Navi Mumbai's finest location, Nerul. It is on floor 15 out of 19 floors. This Apartment is available at a reasonable price of Rs 2.0 Cr. The built up area of this property is 1230 Square feet. This property is East facing. There are 2 bedrooms and 2 bathroom. The Apartment has lift facility. It is a thoroughly safe premise with cctv facility. Other facilities include amenities like Gym, Garden, Sports Facility, Swimming Pool, Intercom, Clubhouse, Community Hall. This property has power bac...",,,Aarambh Reality,,View Phone,Contact
,2.91 Cr,EMI starts at 1.44 Lacs,,3 BHK,,,Omkar Planet,,"Sector 12, Nerul,Navi Mumbai",Build Up Area,1765 sq.ft,16.49 K/sq.ft,,"precisely planned with state of art facilities and exemplary quality standard . omkar planet  offer premium living of palm beach road belapur. design to sustain a fullfilling sense of commuinity and provider a deeper connection with nature. omkar planet offer its resident both the raw simplicity of a nature habitat alongside the pluse comford of high end living 
Live in a world of comfort and style at Omkar Planet located in Nerul, Mumbai Navi. Book your 2 BHK apartment now. Sprawling across a carpet area of 512.79 sq. ft, it is a new launch property available for Rs. 1.5 Crore.


The project ...",,,URBAN DEVELOPRES,,View Phone,Contact
,1.35 Cr,EMI starts at 67.02 K,,2 BHK,,,"Shruti chs,Sector 27, Nerul,Navi Mumbai",,,Build Up Area,1150 sq.ft,11.74 K/sq.ft,,2 bhk with balcony flat for sale in nerul . Cross ventilation Ready to Move with parking well maintained society 24 hrs watar security ,,,Swami Property Consultant,,View Phone,Contact
https://is1-2.housingcdn.com/01c16c28/71517bada0800cbe73036137addd31d2/v0/medium/4_bhk_apartment-for-sale-nerul-Navi+Mumbai-balcony.jpg.webp,10.0 Cr,EMI starts at 4.96 Lacs,,4 BHK,,,Maithili Emerald Bay,,"Sector 14, Nerul,Navi Mumbai",Build Up Area,3800 sq.ft,26.32 K/sq.ft,,"Well maintained luxurious building with complete sea view. 


Plot No R, Palm Beach Service Road, 3B, Sector 14 Nerul Rd, Navi Mumbai, Maharashtra 400706",https://is1-2.housingcdn.com/fb15c03b/e47cdabaa9ef8772074b031035d00cdd/v0/thumb.jpg.webp,,Sahara Realty,,View Phone,Contact
https://is1-3.housingcdn.com/01c16c28/0b01dcc6fe254d9fa5421caa7b5d1e5f/v0/medium/2_bhk_apartment-for-sale-nerul-Navi+Mumbai-hall.jpg.webp,1.65 Cr,EMI starts at 81.92 K,,2 BHK,,,Akshar Siddhi Heights ,,"Sector 28, Nerul,Navi Mumbai",Build Up Area,1270 sq.ft,12.99 K/sq.ft,,"One of the finest property in Nerul is now available for sale. This is a 2 BHK Apartment. Make it yours now. It is on floor 4. It is a 14 storeyed building. The price of this Apartment is Rs 1.65 Cr. Other charges when you move into this property include maintenance, which is Rs 2380. This Apartment is spacious with a built-up area of 1270 Square feet. The carpet area is 820 Square feet. It is a North-East-facing property with a good view. There are 2 bedrooms and 2 bathroom. Lift facility is also available. This is a gated community. This property is equipped with cctv facility. Health enthus...",https://is1-2.housingcdn.com/fb15c03b/b23d4113648e177616a76137f3644f23/v0/thumb.jpg.webp,,Divine Realtors,,View Phone,Contact
https://is1-3.housingcdn.com/4f2250e8/cc941194b42832a9d0a4627c39f7ff9a/v2/medium/arihant_clan_aalishan_phase_1-kharghar-mumbai-arihant_superstructures_limited.jpeg.webp,90.94 L - 1.2 Cr,EMI starts at 45.15 K,,,,,"Kharghar,Navi Mumbai",,,Possession Starts,"Sep, 2024",,,"Spread across 2.13 acres, the Arihant Clan Aalishan Phase 1 project comprises 2 buildings that are home to 505 units. Situated at Kharghar in Navi Mumbai, the project is developed and designed by Arihant Superstructures Pvt. Ltd.&nbsp;With 1 BHK, 2BHK and 3 BHK units available, each unit, comes with vitrified tile flooring, module doors, French windows and walls with a Pop finish.&nbsp;A landscaped garden, facilities to play squash and badminton, a well-equipped gymnasium, a swimming pool, an aerobics center and a library are some of the amenities offered.Kharghar is one of the upcoming suburb...",https://is1-3.housingcdn.com/0b8ad14c/656f52852149b1edd899e7718da0805f/v0/thumb.jpg.webp,,Arihant Superstructures Limited,Developer,View Phone,Contact
https://is1-3.housingcdn.com/01c16c28/5ecc8e042771995fdbe35a297095000f/v0/medium/3_bhk_apartment-for-sale-nerul-Navi+Mumbai-hall.jpg.webp,2.95 Cr,EMI starts at 1.46 Lacs,,3 BHK,,, Lavika Palace,,"Sector 21, Nerul,Navi Mumbai",Build Up Area,2350 sq.ft,12.55 K/sq.ft,,"3 BHK Apartment for sale in Nerul, Mumbai - contact now, for details about the most coveted property. This 3 BHK unit is available in Nerul and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Nerul. It is on floor 2. The total number of floors is 4. The price of this Apartment is Rs 2.95 Cr. Residents in this project also pay monthly maintenance charges of Rs 4000. It is a good, spacious Apartment unit with carpet area of 1700 Square feet. The built-up area is 2350 Square feet. There are 3 bedrooms and 3 bathroom. This property is at a walking distan...",,,Harmony Realtors,,View Phone,Contact
,2.0 Cr,EMI starts at 99.29 K,,2 BHK,,,L And T Seawoods Residences Phase 3,,"Sector 28, Nerul,Navi Mumbai",Build Up Area,1001 sq.ft,19.98 K/sq.ft,,"Built on India's first Transit Oriented Development. Awarded as the project launch of the year 2019 by Realty plus awards. The most modern gated community of Navi Mumbai. 2 storied modern club house spread over 20,000 sq.ft. Olympic sized swimming pool with toddlers pool. Podium garden with modern amenities. Exclusive 2 badminton courts in the project.",,,HomeBazaar.com,,View Phone,Contact
,1.8 Cr,EMI starts at 89.36 K,,2 BHK,,,Meridian Mystic,,"Sector 27, Nerul,Navi Mumbai",Build Up Area,1220 sq.ft,14.75 K/sq.ft,,"This is 2 bhk unfurnished apartment for sale in nerul with all modern Amenities like swimming pool, gym, garden, lift, security, water storage, Visitors parking etc it has 780 sqft carpet area and it is well maintain society. It is Newly Construction building of 17 storey and you will get higher floor. ",,,Balram Jha,,View Phone,Contact
,2.4 Cr,EMI starts at 1.19 Lacs,,3 BHK,,,,,"Sector 9, Nerul,Navi Mumbai",Build Up Area,1480 sq.ft,16.22 K/sq.ft,,,,,Universal Property,,View Phone,Contact
,1.1 Cr,EMI starts at 54.61 K,,2 BHK,,,"Arced chs,Sector 19A, Nerul,Navi Mumbai",,Moreshwar 19 East,Build Up Area,980 sq.ft,11.22 K/sq.ft,,2 bhk Main Road Facing property all Title Clear Plot opp. garden Nerul well maintained society cross ventilation Ready to Move key ready ,,,Swami Property Consultant,,View Phone,Contact
,1.8 Cr,EMI starts at 89.36 K,,2 BHK,,,,,"Sector 19, Nerul,Navi Mumbai",Build Up Area,1280 sq.ft,14.06 K/sq.ft,,"2 BHK Apartment for sale in Navi Mumbai. This property is in Nerul, which is a coveted investment location. This tastefully designed 2 BHK unit is among Navi Mumbai's best properties. Contact now for more details. This property in Navi Mumbai is on floor 10. The total number of floors in this Apartment is 18. The price of the Apartment is Rs 1.8 Cr. Monthly maintenance charges come to Rs 5000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1280 Square feet. The carpet area is 780 Square feet. This is a North-East facing property. It has ...",,,Sahara Realty,,View Phone,Contact
,2.6 Cr,EMI starts at 1.29 Lacs,,2 BHK,,,Sagar Darshan Towers,,"Sector 18A, Nerul,Navi Mumbai",Build Up Area,1390 sq.ft,18.70 K/sq.ft,,"Check out this 2 BHK Apartment for sale in Nerul, Mumbai. This 2 BHK Apartment is perfect for a modern-day lifestyle. Nerul is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 7. The total number of floors in this project is 16. The property's price is Rs 2.6 Cr. Residents in this property pay Rs 2600 towards maintenance. This property is a modern-day abode, with 1390 Square feet built-up area. The carpet-area is 1050 Square feet. It is a North-East-facing property. The unit has 2 bedrooms and 2 bathroo...",,,Divine Realtors,,View Phone,Contact
,2.95 Cr,EMI starts at 1.46 Lacs,,3 BHK,,,Ahuja Harbour Estate,,"Sector 19A, Nerul,Navi Mumbai",Build Up Area,1750 sq.ft,16.86 K/sq.ft,,"Looking for a 3 BHK Apartment for sale in Mumbai? Your search ends here. Buy this 3 BHK property in Mumbai's finest location, Nerul. It is on floor 11 out of 14 floors. This Apartment is available at a reasonable price of Rs 2.95 Cr. Maintenance charges in this property is Rs 3500. The built up area of this property is 1750 Square feet. It is spacious for a family and this property has a carpet area of 1200 Square feet. There are 3 bedrooms and 3 bathroom. There are a number of reputed schools in the vicinity such as EKKTA COACHING CLASSES, Ryan International School, and Sara-Ikon. Medical fac...",,,Harmony Realtors,,View Phone,Contact
,75.0 L,EMI starts at 39.72 K,,1 BHK,,,ashna sector 21 nerul navi mumbai,,"Sector 15, Nerul,Navi Mumbai",Build Up Area,650 sq.ft,11.54 K/sq.ft,,,,,Universal Property,,View Phone,Contact
,1.75 Cr,EMI starts at 86.88 K,,2 BHK,,,Akshar Alvario,,"Sector 27, Nerul,Navi Mumbai",Build Up Area,1150 sq.ft,15.22 K/sq.ft,,Elegant Property In Nerul . All Amenities ,,,Sahara Realty,,View Phone,Contact
,1.75 Cr,EMI starts at 86.88 K,,2 BHK,,,Mahavir Vihar,,"Sector 25, Nerul,Navi Mumbai",Build Up Area,1275 sq.ft,13.72 K/sq.ft,,"Looking for a good 2 BHK Apartment in Nerul, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 2. Total number of floors is 7. Maintenance charges of this property is Rs 1250. This Apartment is available for Rs 1.75 Cr. This modern unit has a built-up area of 1275 Square feet. The carpet area of this Apartment is 810 Square feet. This property has a good view and is North-East-facing. There are 2 bedrooms and 2 bathroom. It also has a servant room. Lift is available in this Apartment. This is a gated community. Cctv facility is provided to ensure safe...",,,Divine Realtors,,View Phone,Contact
,4.0 Cr,EMI starts at 1.99 Lacs,,5 BHK ,,,"Sector 17, Nerul,Navi Mumbai",,,Build Up Area,2200 sq.ft,18.18 K/sq.ft,,"Spacious Bungalow with 5 BHK, 4 bathrooms, 2 Balconies, Small Garden, Backyard, 1 Personal Parking and 1 Huge Terrace. Semi Furnished.
Recently Renovated with complete Plastering and coloring work done. 
Main Road Facing. 2 mins walk from Nerul Railway Station, 5 mins walk from Nerul Bus Depot.
Retail and Medical shops, Schools, Hospital, Market, Supermarket available at 1-2 mins distance.",,,,,View Phone,Contact
,1.4 Cr,EMI starts at 69.50 K,,3 BHK,,,"Sector 15, Nerul,Navi Mumbai",,,Build Up Area,1100 sq.ft,12.73 K/sq.ft,,"3 BHK Apartment for sale in Nerul, Navi Mumbai. This 3 BHK unit is available in Nerul and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Nerul. It is on floor 7. The total number of floors is 7. The price of this Apartment is Rs 1.4 Cr. Residents in this project also pay monthly maintenance charges of Rs 5000. It is a good, spacious Apartment unit with carpet area of 800 Square feet. The built-up area is 1100 Square feet. There are 3 bedrooms and 2 bathroo...",,,,,View Phone,Contact
,58.0 L,EMI starts at 30.71 K,,1 BHK,,,Nerul Sea View,,"Sector 6, Nerul,Navi Mumbai",Build Up Area,550 sq.ft,10.54 K/sq.ft,,,,,,,View Phone,Contact
,2.25 Cr,EMI starts at 1.12 Lacs,,3 BHK ,,,"Sector 28, Nerul,Navi Mumbai",,,Build Up Area,1450 sq.ft,15.52 K/sq.ft,,"3 BHK Independent House for sale in Mumbai. This property is in Nerul, which is a coveted investment location. This tastefully designed 3 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 2.25 Cr. Monthly maintenance charges come to Rs 4500. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1450 Square feet. The carpet area is 900 Square feet. It has 2 bathroom and 3 bedrooms. Some of t...",,,,,View Phone,Contact
,4.5 Cr,EMI starts at 2.23 Lacs,,5 BHK,,,Neelsidhi Atlantis,,"Sector 19A, Nerul,Navi Mumbai",Build Up Area,3500 sq.ft,12.86 K/sq.ft,,"A very good 4 bhk flat for rent in , mumbai navi. It is a superb property and offers an excellent view. The flat is furnished with multiple amenities and promises a comfortable stay. It has a super built-Up area of 5000 sq.Ft. It also has marble flooring. West facing. 2 covered parking.Full power back up.",,,Gunjan Jain,Housing Prime Agent,View Phone,Contact
,5.68 Cr,EMI starts at 2.82 Lacs,,6 BHK,,,Moreshwar 19 East,,"Sector 19, Nerul,Navi Mumbai",Build Up Area,3780 sq.ft,15.03 K/sq.ft,,"Available 3 Bhk + 3 Bhk With Srevent Room Jodi Flat For Sale In Moreshwar 19 East,Sector-19,Nerul East,Navi Mumbai.",,,Sachin B.Patel,Housing Prime Agent,View Phone,Contact
,6.5 Cr,EMI starts at 3.23 Lacs,,4 BHK,,,"4 BHK SALE IN NERUL,Sector 15, Nerul,Navi Mumbai",,,Build Up Area,3000 sq.ft,21.67 K/sq.ft,,"EXCLUSIVE 4 BHK SALE IN NERUL
FULLY FURNISHED FLAT 
6.5 CR ",,,Gagan,Housing Expert,View Phone,Contact
https://is1-3.housingcdn.com/01c16c28/803815c53dc58fa9d7a6cd95b12104a7/v0/medium/1_bhk_apartment-for-sale-nerul-Navi+Mumbai-hall.jpg.webp,57.0 L,EMI starts at 30.18 K,,1 BHK,,,Bapu Sparsh CHS,,"Sector 6, Nerul,Navi Mumbai",Build Up Area,650 sq.ft,8.77 K/sq.ft,,"The spacious Apartment at Reputed Bapu Sparsh CHS comes with many modern amenities including . The Apartment size starts from 476.0 sq ft. Nerul is well-connected to other parts of city by road, which passes through the heart of this suburb. Prominent shopping malls, movie theatres, school, and hospitals are present in proximity of this residential project.",https://is1-3.housingcdn.com/fb15c03b/5f6a613f5488c5d9a1fcfbcb2c0f9104/v0/thumb.jpg.webp,,Gautam Mishra,Housing Expert,View Phone,Contact
https://is1-2.housingcdn.com/01c16c28/d42c1e9c4465a1cbdf8f12086d0060c7/v0/medium/2_bhk_apartment-for-sale-nerul-Navi+Mumbai-others.jpg.webp,1.75 Cr,EMI starts at 86.88 K,,2 BHK,,,Moreshwar 19 East,,"Sector 19, Nerul,Navi Mumbai",Build Up Area,1200 sq.ft,14.58 K/sq.ft,,"Experience a new style of living with Moreshwar 19 East. The project offers an exclusive range of 2 BHK flats in Nerul, Mumbai Navi at a price range of Rs. 1.73 Crore - Rs. 1.79 Crore.These flats have a carpet area ranging from 613.54 sq. ft. - 634.0sq. ft. It is an under construction project. The design is done keeping every small to large needs of residents in consideration. Plus, a comprehensive range of amenities including 24/7 Power Backup, Piped Gas, Landscape Garden, Swimming Pool, 24/7 Water Supply, etc. make it one of the most desirable residential projects in Mumbai Navi.",,,Goodwill Realty,Housing Prime Agent,View Phone,Contact
,2.0 Cr,EMI starts at 99.29 K,,2 BHK,,,Ahuja Harbour Estate,,"Sector 19A, Nerul,Navi Mumbai",Build Up Area,1120 sq.ft,17.86 K/sq.ft,,"Ahuja Harbour Estate 2 bhk flat for a sale is 2 cr and area is  1120 sq ft, fully furnished flat, sector 19A nerul navi mumbai, is one of the popular residential-cum-commercial projects that is located in Nerul, Mumbai Navi. Developed by Ahuja Constructions, this project offers apartments along with villas with basic amenities for the comfort of residents. Adding to this, it is close to the market, hospital and many educational institutions.",,,K.REALTORS,Housing Expert,View Phone,Contact
,75.0 L,EMI starts at 39.72 K,,1 BHK,,,Kailash Nilgiri Gardens,,"Sector 19A, Nerul,Navi Mumbai",Build Up Area,580 sq.ft,12.93 K/sq.ft,,"Check out this 1 BHK Apartment for sale in Nerul, Navi Mumbai. This 1 BHK Apartment is perfect for a modern-day lifestyle. Nerul is a promising location in Navi Mumbai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 7. The property's price is Rs 75.0 L. Residents in this property pay Rs 1500 towards maintenance. This property is a modern-day abode, with 580 Square feet built-up area. The carpet-area is 415 Square feet. It is a East-facing property. The unit has 1 bedroom and 1 bathroo...",,,Manish Real Estate,Housing Prime Agent,View Phone,Contact
,55.0 L,EMI starts at 29.13 K,,2 BHK,,,"BALAJI CHS SECTOR 23 NERUL NAVI MUMBAI,Sector 23, Nerul,Navi Mumbai",,,Build Up Area,850 sq.ft,6.47 K/sq.ft,,"2 BHK Apartment for sale in Nerul, Navi Mumbai with modern-day amenities. The Apartment is in Nerul which is a promising investment destination in Navi Mumbai. This might be your chance to grab the best 2 BHK property for sale in Nerul. The property is on floor 1 and the total number of floors is 4. This 2 BHK Apartment is available at a reasonable price of Rs 55.0 L. Residents also need to pay maintenance charges of Rs 2200. It is a very spacious property, spread over 550 Square feet. The built-up area is 850 Square feet. This property has provision for 2 bathroom. This property is auspicious...",,,Mozumder Enterprises,Housing Prime Agent,View Phone,Contact
